,index,title,year,runtime_min,genre,metascore,gross_mil,link_movie,director,actors,link_people,Nominated,Won,country,language,release_date,color,aspect_ratio
10,11,The Hurt Locker,2008,131,"['Drama', 'Thriller', 'War']",94        ,17.02,https://www.imdb.com/title/tt0887912/,['Kathryn Bigelow'],"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty', 'Guy Pearce']","['https://www.imdb.com//name/nm0000941/awards', 'https://www.imdb.com//name/nm0719637/awards', 'https://www.imdb.com//name/nm1107001/awards', 'https://www.imdb.com//name/nm1310016/awards', 'https://www.imdb.com//name/nm0001602/awards']",3,1,USA,English,4 September 2009,Color,1.85 :1
11,12,No Country for Old Men,2007,122,"['Crime', 'Drama', 'Thriller']",91        ,74.28,https://www.imdb.com/title/tt0477348/,"['Ethan Coen', 'Joel Coen']","['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson']","['https://www.imdb.com//name/nm0001053/awards', 'https://www.imdb.com//name/nm0001054/awards', 'https://www.imdb.com//name/nm0000169/awards', 'https://www.imdb.com//name/nm0000849/awards', 'https://www.imdb.com//name/nm0000982/awards', 'https://www.imdb.com//name/nm0000437/awards']",23,6,USA,English,7 March 2008,Color,2.39 :1
12,13,The Departed,2006,151,"['Crime', 'Drama', 'Thriller']",85        ,132.38,https://www.imdb.com/title/tt0407887/,['Martin Scorsese'],"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']","['https://www.imdb.com//name/nm0000217/awards', 'https://www.imdb.com//name/nm0000138/awards', 'https://www.imdb.com//name/nm0000354/awards', 'https://www.imdb.com//name/nm0000197/awards', 'https://www.imdb.com//name/nm0000242/awards']",27,6,USA,English,10 November 2006,Color,2.39 :1
13,14,Million Dollar Baby,2004,132,"['Drama', 'Sport']",86        ,100.49,https://www.imdb.com/title/tt0405159/,['Clint Eastwood'],"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']","['https://www.imdb.com//name/nm0000142/awards', 'https://www.imdb.com//name/nm0005476/awards', 'https://www.imdb.com//name/nm0000142/awards', 'https://www.imdb.com//name/nm0000151/awards', 'https://www.imdb.com//name/nm0059431/awards']",14,9,USA,English,21 April 2005,Color,2.39 :1
14,15,Crash,2004,112,"['Crime', 'Drama', 'Thriller']",69        ,54.58,https://www.imdb.com/title/tt0375679/,['Paul Haggis'],"['Don Cheadle', 'Sandra Bullock', 'Thandie Newton', 'Karina Arroyave']","['https://www.imdb.com//name/nm0353673/awards', 'https://www.imdb.com//name/nm0000332/awards', 'https://www.imdb.com//name/nm0000113/awards', 'https://www.imdb.com//name/nm0628601/awards', 'https://www.imdb.com//name/nm0037410/awards']",5,2,USA,English,12 August 2005,Color,2.35 :1
15,16,Ringenes herre: Kongen vender tilbage,2003,201,"['Adventure', 'Drama', 'Fantasy']",94        ,377.85,https://www.imdb.com/title/tt0167260/,['Peter Jackson'],"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']","['https://www.imdb.com//name/nm0001392/awards', 'https://www.imdb.com//name/nm0000704/awards', 'https://www.imdb.com//name/nm0001557/awards', 'https://www.imdb.com//name/nm0005212/awards', 'https://www.imdb.com//name/nm0089217/awards']",9,1,New Zealand,English,17 December 2003,Color,2.35 :1
16,17,Chicago,2002,113,"['Comedy', 'Crime', 'Musical']",82        ,170.69,https://www.imdb.com/title/tt0299658/,['Rob Marshall'],"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Taye Diggs']","['https://www.imdb.com//name/nm0551128/awards', 'https://www.imdb.com//name/nm0000250/awards', 'https://www.imdb.com//name/nm0001876/awards', 'https://www.imdb.com//name/nm0000152/awards', 'https://www.imdb.com//name/nm0004875/awards']",3,2,USA,English,4 April 2003, Black and White,1.85 :1
17,18,Et smukt sind,2001,135,"['Biography', 'Drama']",72        ,170.74,https://www.imdb.com/title/tt0268978/,['Ron Howard'],"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']","['https://www.imdb.com//name/nm0000165/awards', 'https://www.imdb.com//name/nm0000128/awards', 'https://www.imdb.com//name/nm0000438/awards', 'https://www.imdb.com//name/nm0000124/awards', 'https://www.imdb.com//name/nm0001626/awards']",9,4,USA,English,1 March 2002,Color,1.85 :1
18,19,Gladiator,2000,155,"['Action', 'Adventure', 'Drama']",67        ,187.71,https://www.imdb.com/title/tt0172495/,['Ridley Scott'],"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']","['https://www.imdb.com//name/nm0000631/awards', 'https://www.imdb.com//name/nm0000128/awards', 'https://www.imdb.com//name/nm0001618/awards', 'https://www.imdb.com//name/nm0001567/awards', 'https://www.imdb.com//name/nm0001657/awards']",9,1,USA,English,19 May 2000,Color,2.39 :1
19,20,American Beauty,1999,122,['Drama'],86        ,130.1,https://www.imdb.com/title/tt0169547/,['Sam Mendes'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']","['https://www.imdb.com//name/nm0005222/awards', 'https://www.imdb.com//name/nm0000228/awards', 'https://www.imdb.com//name/nm0000906/awards', 'https://www.imdb.com//name/nm0000301/awards', 'https://www.imdb.com//name/nm0004747/awards']",4,3,USA,English,18 February 2000, Black and White,2.35 :1
